R1,R2,R3
1.511800e+00,1.511800e+00,1.840600e+00
1.511800e+00,1.511800e+00,1.943500e+00
1.511800e+00,1.511800e+00,2.042700e+00
1.511800e+00,1.511800e+00,2.138000e+00
1.511800e+00,1.511800e+00,2.229200e+00
1.511800e+00,1.511800e+00,2.316200e+00
1.511800e+00,1.511800e+00,2.398800e+00
1.511800e+00,1.511800e+00,2.476800e+00
1.511800e+00,1.511800e+00,2.550000e+00
1.511800e+00,1.511800e+00,2.618500e+00
1.511800e+00,1.511800e+00,2.681900e+00
1.511800e+00,1.511800e+00,2.740300e+00
1.511800e+00,1.511800e+00,2.793400e+00
1.511800e+00,1.511800e+00,2.841200e+00
1.511800e+00,1.511800e+00,2.883600e+00
1.511800e+00,1.511800e+00,2.920500e+00
1.511800e+00,1.511800e+00,2.951900e+00
1.511800e+00,1.511800e+00,2.977600e+00
1.511800e+00,1.511800e+00,2.997700e+00
1.511800e+00,1.511800e+00,3.012100e+00
1.511800e+00,1.511800e+00,3.020700e+00
1.511800e+00,1.614600e+00,1.700700e+00
1.511800e+00,1.700800e+00,1.733400e+00
1.511800e+00,1.700700e+00,1.849100e+00
1.511800e+00,1.700700e+00,1.961400e+00
1.511800e+00,1.700800e+00,2.070100e+00
1.511800e+00,1.700800e+00,2.174800e+00
1.511800e+00,1.700800e+00,2.275500e+00
1.511800e+00,1.700800e+00,2.372000e+00
1.511800e+00,1.700800e+00,2.463900e+00
1.511800e+00,1.700700e+00,2.551300e+00
1.511800e+00,1.700700e+00,2.633800e+00
1.511800e+00,1.700800e+00,2.711300e+00
1.511800e+00,1.700700e+00,2.783700e+00
1.511800e+00,1.700800e+00,2.850900e+00
1.511800e+00,1.700800e+00,2.912600e+00
1.511800e+00,1.700800e+00,2.968900e+00
1.511800e+00,1.700800e+00,3.019500e+00
1.511800e+00,1.700800e+00,3.064400e+00
1.511800e+00,1.700700e+00,3.103500e+00
1.511800e+00,1.700800e+00,3.136700e+00
1.511800e+00,1.700700e+00,3.163900e+00
1.511800e+00,1.700700e+00,3.185100e+00
1.511800e+00,1.700800e+00,3.200400e+00
1.511800e+00,1.700800e+00,3.209500e+00
1.477800e+00,1.511800e+00,1.889700e+00
1.511800e+00,1.606000e+00,1.889700e+00
1.511800e+00,1.732000e+00,1.889700e+00
1.511800e+00,1.855200e+00,1.889700e+00
1.511800e+00,1.889700e+00,1.975400e+00
1.511800e+00,1.889700e+00,2.092300e+00
1.511800e+00,1.889700e+00,2.205500e+00
1.511800e+00,1.889700e+00,2.314800e+00
1.511800e+00,1.889700e+00,2.420000e+00
1.511800e+00,1.889700e+00,2.520800e+00
1.511800e+00,1.889700e+00,2.617000e+00
1.511800e+00,1.889700e+00,2.708400e+00
1.511800e+00,1.889700e+00,2.794800e+00
1.511800e+00,1.889700e+00,2.876000e+00
1.511800e+00,1.889700e+00,2.951900e+00
1.511800e+00,1.889700e+00,3.022200e+00
1.511800e+00,1.889700e+00,3.086900e+00
1.511800e+00,1.889700e+00,3.145900e+00
1.511800e+00,1.889700e+00,3.199000e+00
1.511800e+00,1.889700e+00,3.246100e+00
1.511800e+00,1.889700e+00,3.287100e+00
1.511800e+00,1.889700e+00,3.321900e+00
1.511800e+00,1.889700e+00,3.350500e+00
1.511800e+00,1.889700e+00,3.372800e+00
1.511800e+00,1.889700e+00,3.388700e+00
1.511800e+00,1.889700e+00,3.398300e+00
1.470500e+00,1.511800e+00,2.078700e+00
1.511800e+00,1.602000e+00,2.078700e+00
1.511800e+00,1.732500e+00,2.078700e+00
1.511800e+00,1.861200e+00,2.078700e+00
1.511800e+00,1.987500e+00,2.078700e+00
1.511800e+00,2.078700e+00,2.111100e+00
1.511800e+00,2.078700e+00,2.231500e+00
1.511800e+00,2.078700e+00,2.348400e+00
1.511800e+00,2.078700e+00,2.461400e+00
1.511800e+00,2.078700e+00,2.570300e+00
1.511800e+00,2.078700e+00,2.674700e+00
1.511800e+00,2.078700e+00,2.774500e+00
1.511800e+00,2.078700e+00,2.869300e+00
1.511800e+00,2.078700e+00,2.959100e+00
1.511800e+00,2.078700e+00,3.043500e+00
1.511800e+00,2.078700e+00,3.122300e+00
1.511800e+00,2.078700e+00,3.195500e+00
1.511800e+00,2.078700e+00,3.262900e+00
1.511800e+00,2.078700e+00,3.324300e+00
1.511800e+00,2.078700e+00,3.379500e+00
1.511800e+00,2.078700e+00,3.428500e+00
1.511800e+00,2.078700e+00,3.471200e+00
1.511800e+00,2.078700e+00,3.507500e+00
1.511800e+00,2.078700e+00,3.537300e+00
1.511800e+00,2.078700e+00,3.560500e+00
1.511800e+00,2.078700e+00,3.577200e+00
1.511800e+00,2.078700e+00,3.587100e+00
1.475000e+00,1.511800e+00,2.267700e+00
1.511800e+00,1.606100e+00,2.267700e+00
1.511800e+00,1.738000e+00,2.267700e+00
1.511800e+00,1.869500e+00,2.267700e+00
1.511800e+00,1.999900e+00,2.267700e+00
1.511800e+00,2.128400e+00,2.267700e+00
1.511800e+00,2.254500e+00,2.267700e+00
1.511800e+00,2.267700e+00,2.377700e+00
1.511800e+00,2.267700e+00,2.497400e+00
1.511800e+00,2.267700e+00,2.613500e+00
1.511800e+00,2.267700e+00,2.725400e+00
1.511800e+00,2.267700e+00,2.832900e+00
1.511800e+00,2.267700e+00,2.935700e+00
1.511800e+00,2.267700e+00,3.033500e+00
1.511800e+00,2.267700e+00,3.126100e+00
1.511800e+00,2.267700e+00,3.213300e+00
1.511800e+00,2.267700e+00,3.294800e+00
1.511800e+00,2.267700e+00,3.370500e+00
1.511800e+00,2.267700e+00,3.440200e+00
1.511800e+00,2.267700e+00,3.503700e+00
1.511800e+00,2.267700e+00,3.560900e+00
1.511800e+00,2.267700e+00,3.611700e+00
1.511800e+00,2.267700e+00,3.655900e+00
1.511800e+00,2.267700e+00,3.693500e+00
1.511800e+00,2.267700e+00,3.724300e+00
1.511800e+00,2.267700e+00,3.748400e+00
1.511800e+00,2.267700e+00,3.765600e+00
1.511800e+00,2.267700e+00,3.776000e+00
1.495400e+00,1.511800e+00,2.456600e+00
1.511800e+00,1.621900e+00,2.456600e+00
1.511800e+00,1.751700e+00,2.456600e+00
1.511800e+00,1.883100e+00,2.456600e+00
1.511800e+00,2.015000e+00,2.456600e+00
1.511800e+00,2.146300e+00,2.456600e+00
1.511800e+00,2.276300e+00,2.456600e+00
1.511800e+00,2.404200e+00,2.456600e+00
1.511800e+00,2.456600e+00,2.529400e+00
1.511800e+00,2.456600e+00,2.651600e+00
1.511800e+00,2.456600e+00,2.770100e+00
1.511800e+00,2.456600e+00,2.884500e+00
1.511800e+00,2.456600e+00,2.994600e+00
1.511800e+00,2.456600e+00,3.100100e+00
1.511800e+00,2.456600e+00,3.200500e+00
1.511800e+00,2.456600e+00,3.295600e+00
1.511800e+00,2.456600e+00,3.385200e+00
1.511800e+00,2.456600e+00,3.469100e+00
1.511800e+00,2.456600e+00,3.547000e+00
1.511800e+00,2.456600e+00,3.618700e+00
1.511800e+00,2.456600e+00,3.684100e+00
1.511800e+00,2.456600e+00,3.743100e+00
1.511800e+00,2.456600e+00,3.795400e+00
1.511800e+00,2.456600e+00,3.841000e+00
1.511800e+00,2.456600e+00,3.879700e+00
1.511800e+00,2.456600e+00,3.911600e+00
1.511800e+00,2.456600e+00,3.936400e+00
1.511800e+00,2.456600e+00,3.954200e+00
1.511800e+00,2.456600e+00,3.964900e+00
1.511800e+00,1.652900e+00,2.645600e+00
1.511800e+00,1.776800e+00,2.645600e+00
1.511800e+00,1.904900e+00,2.645600e+00
1.511800e+00,2.035400e+00,2.645600e+00
1.511800e+00,2.167200e+00,2.645600e+00
1.511800e+00,2.299000e+00,2.645600e+00
1.511800e+00,2.429800e+00,2.645600e+00
1.511800e+00,2.559100e+00,2.645600e+00
1.511800e+00,2.645600e+00,2.686000e+00
1.511800e+00,2.645600e+00,2.809900e+00
1.511800e+00,2.645600e+00,2.930500e+00
1.511800e+00,2.645600e+00,3.047100e+00
1.511800e+00,2.645600e+00,3.159400e+00
1.511800e+00,2.645600e+00,3.267100e+00
1.511800e+00,2.645600e+00,3.369700e+00
1.511800e+00,2.645600e+00,3.467100e+00
1.511800e+00,2.645600e+00,3.558800e+00
1.511800e+00,2.645600e+00,3.644800e+00
1.511800e+00,2.645600e+00,3.724600e+00
1.511800e+00,2.645600e+00,3.798200e+00
1.511800e+00,2.645600e+00,3.865400e+00
1.511800e+00,2.645600e+00,3.925900e+00
1.511800e+00,2.645600e+00,3.979600e+00
1.511800e+00,2.645600e+00,4.026500e+00
1.511800e+00,2.645600e+00,4.066300e+00
1.511800e+00,2.645600e+00,4.099000e+00
1.511800e+00,2.645600e+00,4.124500e+00
